x,custom(x)
-31.41592653589793,1.0
-31.328660073298213,1.0
-31.241393610698495,1.0
-31.154127148098777,1.0
-31.06686068549906,1.0
-30.97959422289934,1.0
-30.892327760299622,1.0
-30.805061297699904,1.0
-30.717794835100186,1.0
-30.630528372500468,1.0
-30.54326190990075,1.0
-30.45599544730103,1.0
-30.368728984701313,1.0
-30.281462522101595,1.0
-30.194196059501877,1.0
-30.10692959690216,1.0
-30.01966313430244,1.0
-29.932396671702723,1.0
-29.845130209103004,1.0
-29.757863746503286,1.0
-29.670597283903568,1.0
-29.58333082130385,1.0
-29.496064358704132,1.0
-29.408797896104414,1.0
-29.321531433504695,1.0
-29.234264970904977,1.0
-29.14699850830526,1.0
-29.05973204570554,1.0
-28.972465583105823,1.0
-28.885199120506105,1.0
-28.797932657906387,1.0
-28.71066619530667,1.0
-28.62339973270695,1.0
-28.536133270107232,1.0
-28.448866807507514,1.0
-28.361600344907796,1.0
-28.274333882308078,1.0
-28.18706741970836,1.0
-28.09980095710864,1.0
-28.012534494508923,1.0
-27.925268031909205,1.0
-27.838001569309487,1.0
-27.75073510670977,1.0
-27.66346864411005,1.0
-27.576202181510332,1.0
-27.488935718910614,1.0
-27.401669256310896,1.0
-27.314402793711178,1.0
-27.22713633111146,1.0
-27.13986986851174,1.0
-27.052603405912024,1.0
-26.965336943312305,1.0
-26.878070480712587,1.0
-26.79080401811287,1.0
-26.70353755551315,1.0
-26.616271092913433,1.0
-26.529004630313715,1.0
-26.441738167713996,1.0
-26.35447170511428,1.0
-26.26720524251456,1.0
-26.179938779914842,1.0
-26.092672317315124,1.0
-26.005405854715406,1.0
-25.918139392115688,1.0
-25.83087292951597,1.0
-25.74360646691625,1.0
-25.656340004316533,1.0
-25.569073541716815,1.0
-25.481807079117097,1.0
-25.39454061651738,1.0
-25.30727415391766,1.0
-25.220007691317942,1.0
-25.132741228718224,1.0
-25.045474766118506,1.0
-24.958208303518788,1.0
-24.87094184091907,1.0
-24.78367537831935,1.0
-24.696408915719633,1.0
-24.609142453119915,1.0
-24.521875990520197,1.0
-24.43460952792048,1.0
-24.34734306532076,1.0
-24.260076602721043,1.0
-24.172810140121324,1.0
-24.085543677521606,1.0
-23.998277214921888,1.0
-23.91101075232217,1.0
-23.823744289722452,1.0
-23.736477827122734,1.0
-23.649211364523016,1.0
-23.561944901923297,1.0
-23.47467843932358,1.0
-23.38741197672386,1.0
-23.300145514124143,1.0
-23.212879051524425,1.0
-23.125612588924707,1.0
-23.03834612632499,1.0
-22.95107966372527,1.0
-22.863813201125552,1.0
-22.776546738525834,1.0
-22.689280275926116,1.0
-22.602013813326398,1.0
-22.51474735072668,1.0
-22.42748088812696,1.0
-22.340214425527243,1.0
-22.252947962927525,1.0
-22.165681500327807,1.0
-22.07841503772809,1.0
-21.99114857512837,1.0
-21.903882112528652,1.0
-21.816615649928934,1.0
-21.729349187329216,1.0
-21.642082724729498,1.0
-21.55481626212978,1.0
-21.46754979953006,1.0
-21.380283336930344,1.0
-21.293016874330625,1.0
-21.205750411730907,1.0
-21.11848394913119,1.0
-21.03121748653147,1.0
-20.943951023931753,1.0
-20.856684561332035,1.0
-20.769418098732316,1.0
-20.6821516361326,1.0
-20.59488517353288,1.0
-20.507618710933162,1.0
-20.420352248333444,1.0
-20.333085785733726,1.0
-20.245819323134008,1.0
-20.15855286053429,1.0
-20.07128639793457,1.0
